realvd,sortby,direct,day,time,speed,accu,jam_percent,congest
VSQYA00,2.0,2,4,14,38.76,28.53,0.6829,0.0
VSQYA00,2.0,2,4,15,38.93,19.85,0.6829,0.0
VSQYA00,2.0,2,4,16,38.99,15.58,0.6585,0.0
VSQYA00,2.0,2,4,17,38.87,10.45,0.7317,0.0
VSQYA00,2.0,2,4,18,38.55,11.63,0.7561,0.0
VSQYA00,2.0,2,4,19,38.069996,6.2,0.6829,0.0
VSQYA00,2.0,2,4,20,38.2,4.65,0.5366,0.0
VSQYA00,2.0,2,4,21,40.51,3.62,0.439,0.0
VSQYA00,2.0,2,4,22,38.73,3.27,0.439,0.0
VSQYA00,2.0,2,4,23,42.539997,2.53,0.3902,0.0
VSQYA00,2.0,2,5,0,49.17,1.13,0.3415,0.0
VSQYA00,2.0,2,5,1,47.45,0.75,0.1707,0.0
VSQYA00,2.0,2,5,2,47.92,0.73,0.0976,0.0
VSQYA00,2.0,2,5,3,52.25,0.38,0.0732,0.0
VSQYA00,2.0,2,5,4,54.59,0.25,0.0732,0.0
VSQYA00,2.0,2,5,5,50.49,0.38,0.0976,0.0
VSQYA00,2.0,2,5,6,50.25,0.55,0.0976,0.0
VSQYA00,2.0,2,5,7,49.68,1.43,0.2195,0.0
VSQYA00,2.0,2,5,8,44.06,2.22,0.3902,0.0
VSQYA00,2.0,2,5,9,40.85,4.3,0.4634,0.0
VSQYA00,2.0,2,5,10,40.55,5.3,0.5366,0.0
VSQYA00,2.0,2,5,11,35.62,8.12,0.6341,0.0652
VSQYA00,2.0,2,5,12,42.6,8.2,0.6098,0.0
VSQYA00,2.0,2,5,13,41.9,6.03,0.6585,0.0
VSQYA00,2.0,2,5,14,37.58,10.13,0.7317,0.0
VSQYA00,2.0,2,5,15,42.59,6.67,0.6341,0.0
VSQYA00,2.0,2,5,16,41.34,6.15,0.6585,0.0
VSQYA00,2.0,2,5,17,42.13,7.77,0.6585,0.0
VSQYA00,2.0,2,5,18,38.79,6.67,0.7073,0.0
VSQYA00,2.0,2,5,19,42.66,4.48,0.561,0.0
VSQYA00,2.0,2,5,20,37.95,3.05,0.5854,0.0
VSQYA00,2.0,2,5,21,37.33,2.78,0.5122,0.0
VSQYA00,2.0,2,5,22,41.95,2.47,0.561,0.0
VSQYA00,2.0,2,5,23,39.19,2.1,0.3902,0.0
VSQYA00,2.0,2,6,0,41.29,1.12,0.2683,0.0
VSQYA00,2.0,2,6,1,44.85,0.72,0.3171,0.0
VSQYA00,2.0,2,6,2,45.33,0.6,0.2683,0.0
VSQYA00,2.0,2,6,3,45.29,0.42,0.2927,0.0
VSQYA00,2.0,2,6,4,50.4,0.28,0.1463,0.0
VSQYA00,2.0,2,6,5,43.82,0.38,0.1463,0.0
VSQYA00,2.0,2,6,6,41.05,0.63,0.2439,0.0
VSQYA00,2.0,2,6,7,42.87,1.1,0.2683,0.0
VSQYA00,2.0,2,6,8,39.97,2.52,0.2927,0.0
VSQYA00,2.0,2,6,9,36.64,4.95,0.3902,0.0
VSQYA00,2.0,2,6,10,38.33,7.63,0.5366,0.0
VSQYA00,2.0,2,6,11,38.85,7.43,0.6829,0.0
VSQYA00,2.0,2,6,12,41.35,5.5,0.6098,0.0
VSQYA00,2.0,2,6,13,41.09,4.72,0.5854,0.0
VSQYA00,2.0,2,6,14,40.28,5.6,0.6585,0.0
VSQYA00,2.0,2,6,15,42.41,8.82,0.6585,0.0
VSQYA00,2.0,2,6,16,38.83,9.12,0.6585,0.0
VSQYA00,2.0,2,6,17,42.509995,7.23,0.5854,0.0
VSQYA00,2.0,2,6,18,37.12,7.07,0.6098,0.0215
VSQYA00,2.0,2,6,19,37.0,4.48,0.6098,0.0
VSQYA00,2.0,2,6,20,44.58,3.65,0.5854,0.0
